word,frequency
afraid,11459.0
to,8202.0
the,6928.0
of,6365.0
i,6283.0
and,4170.0
a,4011.0
you,3981.0
be,3695.0
is,3634.0
are,2977.0
not,2632.0
that,2545.0
it,2385.0
im,2143.0
in,2107.0
for,1860.0
i'm,1779.0
but,1776.0
this,1693.0
so,1660.0
my,1612.0
they,1499.0
he,1401.0
if,1351.0
have,1347.0
was,1332.0
we,1248.0
me,1177.0
what,1168.0
on,1114.0
with,1091.0
people,1084.0
your,1018.0
dont,972.0
don't,959.0
will,958.0
just,939.0
do,916.0
like,900.0
all,883.0
because,863.0
out,797.0
am,790.0
no,760.0
as,758.0
or,745.0
who,725.0
why,718.0
too,705.0
when,687.0
at,674.0
know,661.0
its,637.0
about,634.0
get,610.0
one,602.0
his,589.0
up,585.0
being,582.0
trump,561.0
would,549.0
can,525.0
never,516.0
has,515.0
from,513.0
them,509.0
how,506.0
their,501.0
now,500.0
more,494.0
think,491.0
been,475.0
want,475.0
she,463.0
there,459.0
say,458.0
it's,431.0
an,428.0
by,412.0
him,407.0
love,404.0
very,398.0
go,395.0
going,386.0
us,375.0
our,374.0
really,372.0
her,362.0
even,362.0
should,358.0
@realdonaldtrump,353.0
time,352.0
were,351.0
only,346.0
you're,342.0
need,338.0
see,334.0
always,332.0
ask,326.0
some,325.0
-,322.0
right,318.0
take,313.0
youre,307.0
help,306.0
make,304.0
someone,296.0
hes,295.0
still,289.0
good,288.0
much,285.0
had,285.0
day,285.0
than,283.0
feel,278.0
also,271.0
tell,266.0
covid,258.0
then,253.0
u,251.0
life,246.0
many,243.0
said,240.0
something,240.0
he's,236.0
way,234.0
let,229.0
well,228.0
here,228.0
these,226.0
everyone,225.0
mental,224.0
other,220.0
can't,220.0
back,220.0
any,217.0
debate,215.0
health,214.0
over,214.0
biden,214.0
those,213.0
today,212.0
did,211.0
could,211.0
talk,210.0
again,208.0
that's,208.0
world,206.0
things,203.0
come,203.0
got,198.0
show,197.0
thats,196.0
every,195.0
worldmentalhealthday,195.0
please,192.0
ever,191.0
t,190.0
man,189.0
might,187.0
most,186.0
first,186.0
fear,184.0
getting,183.0
bad,183.0
after,182.0
own,178.0
where,178.0
thing,176.0
down,175.0
look,174.0
same,171.0
nothing,170.0
anyone,168.0
yes,164.0
into,160.0
@joebiden,160.0
ive,159.0
new,159.0
gonna,157.0
anything,154.0
oh,152.0
they're,152.0
endsars,152.0
speak,151.0
cant,151.0
little,149.0
years,149.0
does,148.0
lol,148.0
theyre,148.0
use,147.0
person,146.0
lot,146.0
face,145.0
yourself,145.0
work,144.0
real,144.0
last,143.0
wrong,143.0
give,143.0
may,142.0
live,141.0
ok,140.0
alone,140.0
truth,139.0
th,139.0
before,139.0
lose,139.0
vote,138.0
since,138.0
stop,137.0
off,137.0
men,137.0
doing,135.0
scared,135.0
president,134.0
i've,134.0
friends,133.0
shes,133.0
2,132.0
away,132.0
wont,131.0
find,131.0
keep,130.0
losing,130.0
women,129.0
put,129.0
sure,129.0
try,129.0
god,126.0
virus,126.0
better,126.0
bc,126.0
big,126.0
maybe,125.0
republicans,125.0
everything,125.0
care,125.0
point,124.0
made,123.0
long,122.0
change,122.0
year,122.0
believe,120.0
won't,120.0
having,119.0
saying,118.0
thank,118.0
around,116.0
cause,116.0
yeah,115.0
great,115.0
watch,114.0
shit,114.0
w,113.0
myself,112.0
remember,111.0
white,111.0
best,110.0
test,110.0
open,109.0
@lindseygrahamsc,109.0
enough,108.0
call,107.0
hope,107.0
die,106.0
hard,106.0
another,106.0
start,105.0
understand,105.0
country,105.0
black,105.0
left,105.0
stay,105.0
mean,104.0
isn't,103.0
arent,103.0
leave,103.0
while,102.0
old,101.0
isnt,101.0
okay,101.0
which,100.0
doesnt,100.0
reason,99.0
reach,99.0
actually,98.0
already,98.0
we're,98.0
agree,98.0
dark,98.0
didnt,97.0
wanna,96.0
hate,96.0
i'll,95.0
answer,95.0
without,95.0
week,94.0
must,93.0
police,93.0
o,93.0
against,93.0
friend,92.0
times,92.0
exactly,91.0
makes,91.0
b,91.0
guys,91.0
trying,91.0
tweet,90.0
she's,90.0
admit,90.0
through,89.0
end,89.0
guess,89.0
endsarsnow,88.0
seen,88.0
once,88.0
though,88.0
coming,88.0
sorry,87.0
sometimes,87.0
home,87.0
next,86.0
via,86.0
government,85.0
probably,85.0
family,84.0
anymore,84.0
true,84.0
days,84.0
power,84.0
game,83.0
far,83.0
yet,83.0
sars,83.0
says,82.0
feeling,82.0
didn't,82.0
happy,82.0
kind,82.0
mind,82.0
ill,82.0
thought,81.0
done,81.0
woman,81.0
lost,80.0
s,80.0
m,80.0
house,79.0
run,79.0
others,78.0
1,78.0
making,78.0
part,77.0
question,77.0
media,77.0
told,76.0
doesn't,76.0
ppl,76.0
death,76.0
able,76.0
wants,75.0
money,75.0
h,75.0
read,75.0
stand,75.0
twitter,74.0
two,74.0
election,74.0
happen,74.0
joe,74.0
strong,74.0
loved,73.0
honestly,73.0
play,73.0
else,73.0
3,73.0
support,72.0
heart,72.0
used,72.0
talking,72.0
matter,72.0
looking,71.0
less,71.0
wanted,71.0
needs,71.0
yall,71.0
win,70.0
either,70.0
r,70.0
theres,70.0
i'd,70.0
there's,69.0
hear,69.0
both,69.0
listen,68.0
guy,68.0
night,68.0
hey,68.0
sad,68.0
fact,68.0
safe,67.0
bit,67.0
state,67.0
literally,67.0
aren't,67.0
share,67.0
important,67.0
started,66.0
id,66.0
behind,66.0
d,66.0
positive,65.0
party,65.0
until,65.0
fall,64.0
longer,64.0
@youtube,64.0
@ida_skibenes,64.0
seems,63.0
saw,63.0
n,63.0
place,63.0
such,63.0
c,62.0
team,62.0
sleep,62.0
whole,62.0
knows,62.0
fight,62.0
head,61.0
playing,61.0
america,61.0
ass,61.0
4,61.0
sign,60.0
living,60.0
post,60.0
voice,60.0
girl,59.0
called,59.0
thinking,59.0
court,59.0
almost,58.0
news,58.0
kids,58.0
went,58.0
anxiety,58.0
free,58.0
young,57.0
protest,57.0
wasnt,57.0
tired,57.0
questions,56.0
nigerians,56.0
words,56.0
af,56.0
miss,56.0
under,56.0
unless,56.0
problem,56.0
few,56.0
heard,56.0
thanks,56.0
second,56.0
ones,55.0
democracy,55.0
hand,55.0
fuck,55.0
means,55.0
job,55.0
nice,55.0
become,54.0
americans,54.0
msm,54.0
taking,54.0
gone,54.0
wonder,54.0
asked,54.0
feelings,54.0
each,54.0
wear,54.0
hell,54.0
y,54.0
ain't,54.0
school,54.0
what's,53.0
p,53.0
@a_l_a_n__g,53.0
hi,53.0
stupid,53.0
gop,53.0
check,53.0
ago,53.0
seem,52.0
republican,52.0
@gop,52.0
voters,52.0
trust,52.0
watching,52.0
l,52.0
side,52.0
cannot,52.0
wish,51.0
fucking,51.0
dog,51.0
past,51.0
covid-19,51.0
afra,50.0
walk,50.0
lindsey,50.0
fail,50.0
ur,50.0
absolutely,50.0
kinda,50.0
whats,50.0
aint,50.0
hurt,49.0
5,49.0
eat,49.0
idea,49.0
kill,49.0
@donaldjtrumpjr,49.0
g,49.0
imagine,49.0
lives,49.0
social,48.0
@scottadamssays,48.0
name,48.0
step,48.0
voting,48.0
uncensored:,48.0
looks,48.0
small,48.0
wasn't,47.0
comes,47.0
f,47.0
close,47.0
definitely,47.0
boy,47.0
parents,47.0
dying,46.0
account,46.0
shows,46.0
coward,46.0
least,46.0
@thehill,46.0
@whitehouse,46.0
hit,46.0
different,46.0
crazy,46.0
funny,45.0
havent,45.0
stuff,45.0
bring,45.0
nobody,45.0
order,45.0
instead,45.0
failure,45.0
tomorrow,45.0
fun,45.0
deal,44.0
fine,44.0
using,44.0
shot,44.0
pretty,44.0
took,44.0
high,44.0
between,43.0
learn,43.0
moment,43.0
happened,43.0
word,43.0
control,43.0
rather,43.0
damn,43.0
months,43.0
happening,43.0
mask,43.0
baby,43.0
future,43.0
&gt,43.0
room,43.0
move,43.0
message,42.0
whos,42.0
struggling,42.0
self,42.0
sick,42.0
write,42.0
during,42.0
public,42.0
ball,41.0
depression,41.0
yo,41.0
afrai,41.0
video,41.0
brave,41.0
respect,40.0
idk,40.0
businesses,40.0
together,40.0
truly,40.0
cuz,40.0
course,40.0
seeing,40.0
lord,40.0
deep,40.0
story,40.0
finally,39.0
girls,39.0
children,39.0
beautiful,39.0
glad,39.0
hide,39.0
turn,39.0
wait,39.0
|,39.0
afr,39.0
found,39.0
lie,38.0
super,38.0
shouldn't,38.0
working,38.0
themselves,38.0
tweets,38.0
rest,38.0
mr,38.0
himself,38.0
2020,38.0
easy,38.0
campaign,38.0
sounds,38.0
car,38.0
number,38.0
mom,38.0
wouldn't,38.0
donald,38.0
asking,37.0
trumps,37.0
@cnn,37.0
gets,37.0
honest,37.0
thoughts,37.0
dear,37.0
dead,37.0
law,37.0
suddenly,37.0
pain,37.0
late,37.0
dm,37.0
lmao,37.0
telling,37.0
proud,37.0
democrats,36.0
@kamalaharris,36.0
send,36.0
body,36.0
soon,36.0
calling,36.0
games,36.0
follow,36.0
wouldnt,36.0
pay,36.0
running,36.0
covid19,36.0
masks,36.0
felt,36.0
hands,36.0
scary,36.0
especially,36.0
speaking,35.0
chance,35.0
protect,35.0
continue,35.0
came,35.0
@harrisonjaime,35.0
goes,35.0
lies,35.0
issues,35.0
starting,35.0
na,34.0
tho,34.0
kid,34.0
water,34.0
american,34.0
mine,34.0
half,34.0
child,34.0
feels,34.0
break,34.0
hold,34.0
omg,34.0
act,33.0
takes,33.0
seriously,33.0
possible,33.0
outside,33.0
line,33.0
tried,33.0
wearing,33.0
food,33.0
pls,33.0
whatever,33.0
leaders,33.0
wh,33.0
set,33.0
often,33.0
realize,33.0
corona,33.0
human,33.0
who's,33.0
),33.0
actual,33.0
graham,32.0
shoppers,32.0
totally,32.0
tested,32.0
showing,32.0
reality,32.0
case,32.0
beginning,32.0
loves,32.0
political,32.0
due,32.0
eyes,32.0
nigeria,32.0
lets,32.0
obviously,32.0
cases,32.0
fire,31.0
cowards,31.0
peace,31.0
/,31.0
tv,31.0
patrons,31.0
@mbuhari,31.0
middle,31.0
e,31.0
deserve,31.0
given,31.0
ha,31.0
however,31.0
fan,31.0
age,31.0
pandemic,31.0
ready,31.0
@nytimes,31.0
weird,31.0
worse,31.0
anyway,30.0
deathly,30.0
racist,30.0
seek,30.0
forget,30.0
worth,30.0
full,30.0
lebron,30.0
tbh,30.0
angry,30.0
we'll,30.0
dogs,30.0
poor,30.0
inside,30.0
doctor,30.0
supporting,30.0
worry,29.0
unlike,29.0
hair,29.0
early,29.0
suffer,29.0
sound,29.0
smart,29.0
express,29.0
dems,29.0
weak,29.0
@realcandaceo,29.0
movie,29.0
tough,29.0
issue,29.0
group,29.0
knew,29.0
gotta,29.0
you'll,29.0
contact,29.0
space,29.0
cool,29.0
shouldnt,29.0
fake,29.0
',29.0
supporters,29.0
you've,29.0
packing,28.0
difference,28.0
allow,28.0
works,28.0
success,28.0
dms,28.0
top,28.0
along,28.0
trump's,28.0
information,28.0
problems,28.0
fighting,28.0
@charliekirk11,28.0
deeply,28.0
heights,28.0
cry,28.0
ya,28.0
normal,28.0
hiding,28.0
thinks,28.0
sense,28.0
science,28.0
watched,28.0
risk,28.0
relationship,27.0
level,27.0
stopped,27.0
likely,27.0
pick,27.0
somebody,27.0
war,27.0
leader,27.0
pass,27.0
mad,27.0
bro,27.0
supposed,27.0
youll,27.0
everyday,27.0
fans,27.0
waiting,27.0
endpolicebrutality,27.0
system,27.0
attention,27.0
straight,27.0
worst,27.0
clear,27.0
looked,27.0
harris,27.0
bitch,27.0
laugh,27.0
fly,27.0
experience,27.0
