word,frequency
angry,11150.0
the,6477.0
i,6283.0
to,5164.0
and,4676.0
a,3599.0
you,3207.0
is,3165.0
so,2730.0
of,2487.0
that,2331.0
this,2274.0
are,2209.0
in,2036.0
not,2033.0
it,1987.0
me,1875.0
be,1870.0
for,1626.0
my,1592.0
endsars,1564.0
at,1452.0
they,1344.0
but,1336.0
we,1302.0
just,1294.0
im,1290.0
with,1283.0
was,1281.0
people,1260.0
he,1207.0
on,1180.0
get,1174.0
when,1099.0
have,1043.0
like,1041.0
why,998.0
do,996.0
if,985.0
about,973.0
an,845.0
all,837.0
i'm,807.0
one,795.0
what,762.0
no,742.0
how,697.0
am,677.0
your,670.0
because,645.0
as,631.0
or,627.0
she,618.0
stay,615.0
who,609.0
now,565.0
up,565.0
need,563.0
dont,544.0
his,539.0
makes,534.0
don't,532.0
its,532.0
will,531.0
know,511.0
them,509.0
can,508.0
out,496.0
back,493.0
over,486.0
make,486.0
very,485.0
from,479.0
being,476.0
really,450.0
time,444.0
tired,443.0
him,442.0
see,435.0
has,422.0
her,422.0
man,420.0
think,413.0
want,412.0
more,403.0
it's,403.0
been,401.0
by,400.0
their,383.0
even,381.0
got,379.0
feel,360.0
sad,358.0
guys,355.0
still,344.0
there,339.0
too,338.0
u,336.0
these,330.0
some,324.0
getting,322.0
should,321.0
were,317.0
always,312.0
never,308.0
then,306.0
would,303.0
go,303.0
right,303.0
number,299.0
us,296.0
made,285.0
spot,279.0
happy,278.0
did,277.0
going,276.0
had,275.0
-,273.0
someone,273.0
our,270.0
@angry_voice,266.0
bring,265.0
good,264.0
only,261.0
love,251.0
say,247.0
white,246.0
you're,242.0
look,238.0
way,234.0
said,231.0
fucking,228.0
here,225.0
much,223.0
also,217.0
other,212.0
than,209.0
many,209.0
down,205.0
stop,201.0
today,199.0
any,198.0
trump,197.0
every,193.0
cant,192.0
well,191.0
day,189.0
after,188.0
person,184.0
something,184.0
yes,183.0
sorry,181.0
men,177.0
please,177.0
can't,175.0
those,174.0
actually,173.0
t,172.0
same,172.0
hate,170.0
thing,169.0
things,167.0
hes,167.0
anger,166.0
lol,166.0
youre,163.0
off,162.0
life,162.0
let,161.0
god,160.0
ever,160.0
tell,159.0
endsarsnow,156.0
shit,154.0
gets,154.0
does,154.0
where,154.0
again,153.0
making,152.0
could,150.0
oh,150.0
he's,149.0
fuck,148.0
bad,146.0
hungry,145.0
everyone,145.0
trying,144.0
most,143.0
twitter,142.0
young,141.0
women,141.0
mad,140.0
thats,139.0
before,139.0
understand,139.0
take,138.0
lot,137.0
better,137.0
give,135.0
first,135.0
little,135.0
come,134.0
keep,133.0
ive,132.0
tweet,132.0
anything,131.0
looks,131.0
literally,131.0
didnt,129.0
2,128.0
into,126.0
nothing,126.0
last,125.0
put,124.0
face,124.0
old,124.0
mean,123.0
myself,122.0
hope,120.0
government,119.0
yeah,119.0
everything,119.0
doing,119.0
bored,119.0
money,118.0
saying,118.0
guy,117.0
world,116.0
country,115.0
that's,113.0
means,113.0
w,110.0
didn't,109.0
i've,109.0
gonna,108.0
they're,108.0
while,107.0
another,107.0
black,106.0
saw,106.0
bill,106.0
such,106.0
wanna,105.0
sure,105.0
th,104.0
different,104.0
remember,104.0
point,103.0
reason,103.0
thought,102.0
wrong,101.0
years,100.0
okay,100.0
cause,99.0
s,99.0
hard,99.0
end,99.0
must,99.0
whole,98.0
talk,98.0
find,98.0
work,98.0
doesn't,97.0
video,97.0
which,97.0
maybe,97.0
sars,97.0
anyone,97.0
stupid,96.0
fact,96.0
enough,96.0
new,96.0
morning,95.0
ok,95.0
upset,94.0
year,94.0
use,94.0
theyre,93.0
o,93.0
read,93.0
bc,92.0
woman,92.0
frustrated,91.0
police,91.0
against,91.0
best,90.0
game,90.0
feeling,90.0
doesnt,90.0
care,90.0
since,90.0
3,89.0
endpolicebrutality,89.0
looking,88.0
through,88.0
mind,87.0
left,87.0
told,87.0
ur,86.0
birthday,86.0
called,86.0
r,85.0
watching,84.0
probably,84.0
thank,84.0
show,84.0
watch,83.0
ppl,82.0
done,82.0
live,82.0
yet,82.0
seem,81.0
long,81.0
yall,81.0
great,81.0
help,81.0
seeing,80.0
friends,79.0
bit,79.0
lost,79.0
birds,79.0
seen,79.0
without,79.0
already,79.0
days,79.0
real,79.0
b,78.0
deal,78.0
mob,78.0
try,78.0
big,78.0
might,78.0
though,78.0
once,77.0
she's,77.0
funny,77.0
lmao,76.0
until,76.0
woke,76.0
having,76.0
agree,76.0
@realdonaldtrump,75.0
1,75.0
may,75.0
h,75.0
damn,75.0
around,74.0
cry,74.0
idk,74.0
rn,73.0
away,73.0
horny,73.0
m,73.0
wish,73.0
sometimes,73.0
used,73.0
scared,72.0
smile,72.0
started,72.0
night,72.0
times,71.0
burr,71.0
hell,71.0
mom,71.0
dog,71.0
went,70.0
n,69.0
protest,69.0
imagine,69.0
youths,68.0
pay,68.0
call,68.0
jimoh,67.0
two,67.0
wait,67.0
home,66.0
each,66.0
hurt,66.0
stuff,66.0
sleep,66.0
says,65.0
calm,65.0
isn't,65.0
both,65.0
ass,65.0
believe,65.0
instead,65.0
@srbachchan,65.0
came,64.0
talking,64.0
start,64.0
wont,64.0
next,64.0
pretty,63.0
yourself,63.0
isnt,63.0
fans,63.0
baby,62.0
&gt,62.0
exactly,62.0
fight,62.0
dude,61.0
girl,61.0
covid,61.0
during,60.0
part,60.0
problem,60.0
i'll,60.0
@lisanandy,60.0
sir,60.0
play,59.0
almost,59.0
namjoon,59.0
thinking,59.0
d,59.0
cute,59.0
ugh,59.0
news,59.0
needs,59.0
hear,59.0
shes,58.0
wanted,58.0
north,58.0
crying,58.0
cannot,58.0
kill,58.0
coming,58.0
kind,58.0
own,57.0
hot,57.0
absolutely,57.0
listen,57.0
tweets,57.0
nigerian,57.0
anymore,56.0
matter,56.0
song,56.0
telling,56.0
ask,56.0
vote,56.0
sound,56.0
true,55.0
wonder,55.0
food,55.0
supporters,54.0
heart,54.0
become,54.0
f,54.0
mp,54.0
lose,53.0
media,53.0
heard,53.0
support,53.0
ha,53.0
head,53.0
seems,53.0
speak,53.0
kids,53.0
words,53.0
ago,52.0
friend,52.0
leave,52.0
ill,52.0
parents,52.0
we're,52.0
confused,52.0
boy,52.0
place,52.0
disappointed,51.0
knew,51.0
calling,51.0
else,51.0
truth,51.0
medical,51.0
tory,51.0
won't,51.0
eyes,51.0
bro,51.0
president,51.0
youth,51.0
others,51.0
playing,51.0
wow,51.0
asked,51.0
side,50.0
4,50.0
change,50.0
c,50.0
theres,50.0
lets,49.0
e,49.0
music,49.0
happened,49.0
felt,49.0
took,49.0
family,49.0
few,48.0
lives,48.0
moods:,48.0
stand,48.0
id,48.0
wasnt,48.0
racist,48.0
least,48.0
honestly,48.0
miss,48.0
less,48.0
ones,48.0
america,48.0
there's,48.0
control,47.0
bitter,47.0
trending,47.0
deserve,47.0
yo,47.0
small,47.0
full,47.0
longer,47.0
tips,47.0
child,47.0
bed,46.0
wtf,46.0
laugh,46.0
red,46.0
cat,46.0
worth,46.0
brother,46.0
emotional,46.0
comments,45.0
@mbuhari,45.0
week,45.0
fun,45.0
poor,45.0
question,45.0
far,45.0
seriously,45.0
post,45.0
human,45.0
hey,45.0
living,45.0
y,44.0
whats,44.0
yesterday,44.0
sense,44.0
violent,44.0
house,44.0
power,44.0
past,44.0
name,44.0
mine,44.0
watched,44.0
g,44.0
p,44.0
bird,44.0
super,44.0
omg,44.0
word,43.0
abt,43.0
l,43.0
korean,43.0
voted,43.0
snl,43.0
wasn't,43.0
either,43.0
dad,43.0
found,43.0
energy,43.0
sounds,43.0
definitely,43.0
ang,42.0
tho,42.0
type,42.0
let's,42.0
hit,42.0
nice,42.0
boys,42.0
guess,41.0
idea,41.0
win,41.0
annoyed,41.0
phone,41.0
knows,40.0
movie,40.0
nigeria,40.0
pissed,40.0
5,40.0
12,40.0
church,40.0
issue,40.0
beat,40.0
account,40.0
voice,40.0
havent,40.0
gay,39.0
situation,39.0
weird,39.0
tonight,39.0
rise,39.0
@uklabour,39.0
especially,39.0
protesters,39.0
die,39.0
pls,39.0
genuinely,39.0
allowed,39.0
state,39.0
peace,38.0
biden,38.0
taking,38.0
what's,38.0
fan,38.0
group,38.0
free,38.0
laughing,38.0
run,38.0
asking,38.0
kinda,37.0
follow,37.0
party,37.0
reading,37.0
seconds,37.0
i'd,37.0
wife,37.0
arent,37.0
fine,37.0
alone,37.0
@angry_ustaaz,37.0
looked,37.0
happen,37.0
tried,37.0
moment,37.0
tv,37.0
thanks,36.0
supposed,36.0
dear,36.0
half,36.0
bitch,36.0
wants,36.0
paid,36.0
team,36.0
kid,36.0
sick,36.0
story,36.0
car,36.0
comes,35.0
10,35.0
straight,35.0
under,35.0
fighting,35.0
minute,35.0
wake,35.0
feelings,35.0
),34.0
mother,34.0
depressed,34.0
forget,34.0
job,34.0
school,34.0
crazy,34.0
dey,34.0
using,34.0
nigerians,34.0
nobody,34.0
issues,34.0
case,34.0
attention,34.0
giving,34.0
till,34.0
whatever,34.0
respect,34.0
social,34.0
behind,33.0
shut,33.0
fire,33.0
salmond,33.0
clearly,33.0
hours,33.0
line,33.0
aren't,33.0
front,33.0
ah,33.0
send,33.0
wouldn't,32.0
sturgeon,32.0
killed,32.0
protect,32.0
soon,32.0
@breitbartnews,32.0
break,32.0
comment,32.0
second,32.0
sunday,32.0
rest,32.0
anywhere,32.0
joe,32.0
entire,32.0
high,32.0
angr,32.0
tweeting,32.0
picture,32.0
extremely,31.0
self,31.0
thread,31.0
children,31.0
surprised,31.0
@erikaha11772363,31.0
sex,31.0
dead,31.0
obviously,31.0
joon,31.0
irrationally,31.0
explain,31.0
rather,31.0
between,31.0
blame,31.0
set,31.0
realize,30.0
single,30.0
body,30.0
across,30.0
killing,30.0
takes,30.0
mr,30.0
father,30.0
@nbcsnl,30.0
course,30.0
son,30.0
top,30.0
via,30.0
mental,30.0
able,30.0
suspect,30.0
glad,30.0
quite,30.0
strong,30.0
completely,29.0
cut,29.0
enjoy,29.0
af,29.0
answer,29.0
gave,29.0
peaceful,29.0
political,29.0
lockdown,29.0
reply,29.0
fake,29.0
war,29.0
joke,29.0
politics,29.0
born,29.0
swear,29.0
expect,29.0
often,29.0
health,29.0
loud,29.0
rage,29.0
scary,29.0
wh,29.0
cool,29.0
opinion,29.0
alex,29.0
local,29.0
towards,29.0
died,28.0
reaction,28.0
feels,28.0
govt,28.0
act,28.0
gun,28.0
open,28.0
election,28.0
idiot,28.0
protesting,28.0
evil,28.0
nah,28.0
public,28.0
tbh,28.0
china,28.0
@policeng,28.0
tl,28.0
totally,28.0
jesus,28.0
move,28.0
tf,28.0
ugly,28.0
check,28.0
fast,28.0
lando,28.0
early,28.0
lisa,28.0
finally,28.0
beating,28.0
everybody,28.0
leader,28.0
democrats,28.0
easy,28.0
needed,28.0
rude,27.0
missed,27.0
soul,27.0
worst,27.0
inside,27.0
lies,27.0
hi,27.0
virus,27.0
shot,27.0
perfect,27.0
bollywood,27.0
article,27.0
must_hang_culpristrapists,27.0
none,27.0
honest,27.0
girls,27.0
shows,27.0
important,27.0
cuz,27.0
late,27.0
na,27.0
sister,27.0
eat,27.0
months,27.0
themselves,27.0
cover,27.0
turn,27.0
waiting,27.0
mum,27.0
worse,26.0
happiness,26.0
@youtube,26.0
trust,26.0
labour,26.0
character,26.0
attack,26.0
mood,26.0
games,26.0
ya,26.0
movement,26.0
folks,26.0
bunch,26.0
turned,26.0
stopped,26.0
v,26.0
whenever,26.0
hand,26.0
7,26.0
middle,26.0
remain,26.0
response,25.0
goes,25.0
room,25.0
uk,25.0
somebody,25.0
short,25.0
became,25.0
lady,25.0
month,25.0
*angry,25.0
forever,25.0
ready,25.0
tears,25.0
@joebiden,25.0
minutes,25.0
system,25.0
worked,25.0
ignore,25.0
wouldnt,25.0
amazing,25.0
cos,25.0
actor,25.0
legend,25.0
hair,25.0
knowing,25.0
re,25.0
ended,25.0
fat,25.0
spent,24.0
special,24.0
emotions,24.0
fear,24.0
enraged,24.0
amitabh,24.0
positive,24.0
sent,24.0
jobs,24.0
lie,24.0
happens,24.0
won,24.0
english,24.0
taken,24.0
himself,24.0
pandemic,24.0
:),24.0
@thehopesprings,24.0
guyyys,24.0
silent,24.0
season,24.0
@stillgray,24.0
worry,24.0
annoying,24.0
beautiful,24.0
amount,24.0
beyond,24.0
art,24.0
followers,24.0
walk,24.0
mask,24.0
usually,24.0
outside,24.0
losing,23.0
certain,23.0
voting,23.0
later,23.0
close,23.0
block,23.0
message,23.0
fair,23.0
england,23.0
favorite,23.0
kept,23.0
couldnt,23.0
chaos,23.0
antifa,23.0
liberal,23.0
dream,23.0
chorni,23.0
disgusted,23.0
law,23.0
ji,23.0
nandy,23.0
spend,23.0
couldn't,23.0
bachchan,23.0
learn,23.0
husband,23.0
low,23.0
buhari,23.0
given,22.0
k,22.0
online,22.0
brexit,22.0
basically,22.0
happening,22.0
fucked,22.0
sustain,22.0
lord,22.0
afraid,22.0
security,22.0
characters,22.0
continue,22.0
truly,22.0
replies,22.0
sucks,22.0
force,22.0
safe,22.0
blood,22.0
citizens,22.0
@thehill,22.0
brain,22.0
simple,22.0
@meiselasb,22.0
anyway,22.0
male,22.0
showing,22.0
yoongi,22.0
stage,22.0
whether,22.0
bts,22.0
following,21.0
useless,21.0
couple,21.0
door,21.0
running,21.0
internet,21.0
performance,21.0
kiss,21.0
death,21.0
episode,21.0
office,21.0
haha,21.0
rant,21.0
yelling,21.0
badly,21.0
throw,21.0
hurts,21.0
listening,21.0
writing,21.0
serious,21.0
simply,21.0
nicola,21.0
indian,21.0
al,21.0
everytime,21.0
bcs,21.0
suddenly,21.0
however,21.0
kicks,21.0
they've,21.0
toxic,21.0
hold,21.0
screaming,21.0
normal,21.0
shocked,21.0
republicans,21.0
haven't,21.0
soft,21.0
star,21.0
write,21.0
gone,20.0
easily,20.0
&lt,20.0
8,20.0
noticed,20.0
loved,20.0
trash,20.0
blue,20.0
area,20.0
acting,20.0
meant,20.0
chill,20.0
american,20.0
wa,20.0
posts,20.0
ma,20.0
south,20.0
table,20.0
6,20.0
claim,20.0
rafique,20.0
met,20.0
level,20.0
dumb,20.0
currently,20.0
@realjameswoods,20.0
older,20.0
trend,20.0
@_sjpeace_,20.0
apparently,20.0
voters,20.0
youve,20.0
hasn't,20.0
weeks,20.0
experience,20.0
dem,20.0
pe,20.0
react,20.0
you've,20.0
finished,20.0
class,20.0
main,20.0
expected,20.0
age,20.0
hide,20.0
shouldn't,20.0
forgot,19.0
/,19.0
quick,19.0
paying,19.0
ex,19.0
yep,19.0
community,19.0
order,19.0
keeping,19.0
thoughts,19.0
justice,19.0
possible,19.0
proud,19.0
isiaq,19.0
problems,19.0
gotta,19.0
players,19.0
starting,19.0
endpolicebrutalityinnigeria,19.0
videos,19.0
rejoice,19.0
punch,19.0
notice,19.0
mostly,19.0
perfectly,19.0
according,19.0
hearing,19.0
total,19.0
pain,19.0
hateful,19.0
|,19.0
grow,19.0
join,19.0
film,19.0
sixty,19.0
co,19.0
general,19.0
boss,19.0
walking,19.0
you'll,19.0
relationship,19.0
image,19.0
ignorant,19.0
stressed,19.0
decided,19.0
avoid,19.0
@danbloom1,18.0
shitty,18.0
2020,18.0
clear,18.0
unless,18.0
anybody,18.0
etc,18.0
monologue,18.0
fr,18.0
fit,18.0
society,18.0
along,18.0
john,18.0
@anandmahindra,18.0
sadly,18.0
broken,18.0
leaders,18.0
tomorrow,18.0
race,18.0
sitting,18.0
lots,18.0
awful,18.0
pr,18.0
innocent,18.0
extra,18.0
horrible,18.0
due,18.0
working,18.0
together,18.0
questions,18.0
bruh,18.0
court,18.0
lately,18.0
jokes,18.0
brought,18.0
aware,18.0
aggressive,18.0
protests,18.0
cares,18.0
murder,18.0
tories,18.0
mistake,18.0
quiet,17.0
standing,17.0
worried,17.0
tells,17.0
thi,17.0
facebook,17.0
indeed,17.0
weekend,17.0
blm,17.0
ideas,17.0
rods,17.0
hashtag,17.0
threw,17.0
choose,17.0
hai,17.0
thinks,17.0
judge,17.0
weak,17.0
express,17.0
refused,17.0
meet,17.0
whos,17.0
guard,17.0
+,17.0
views,17.0
whoever,17.0
scene,17.0
20,17.0
sa,17.0
forward,17.0
among,17.0
fists,17.0
fo,17.0
form,17.0
@molotovgirl,17.0
brutality,17.0
buy,17.0
three,17.0
holy,17.0
lying,17.0
lead,17.0
likes,17.0
11,17.0
wanting,17.0
allow,17.0
corrupt,17.0
dems,17.0
sweet,17.0
groups,17.0
failed,17.0
stick,17.0
streets,16.0
wrote,16.0
disgusting,16.0
treated,16.0
niggas,16.0
view,16.0
we've,16.0
hahaha,16.0
recent,16.0
focus,16.0
shooting,16.0
anxious,16.0
fall,16.0
