word,frequency
fun,12276.0
i,5839.0
the,5738.0
a,4990.0
to,4847.0
and,4592.0
of,3480.0
is,2982.0
you,2908.0
it,2901.0
have,2590.0
for,2517.0
so,2280.0
in,2152.0
was,2040.0
this,1992.0
that,1863.0
my,1768.0
be,1749.0
but,1709.0
with,1670.0
on,1381.0
just,1318.0
like,1246.0
its,1117.0
me,1102.0
are,1051.0
not,999.0
all,939.0
much,936.0
at,851.0
we,831.0
im,812.0
your,779.0
had,770.0
do,739.0
some,727.0
as,702.0
if,683.0
it's,676.0
make,659.0
more,643.0
out,635.0
one,626.0
when,621.0
they,616.0
having,607.0
get,604.0
really,593.0
time,577.0
about,560.0
people,545.0
up,539.0
what,529.0
can,522.0
no,511.0
would,505.0
game,502.0
making,492.0
love,472.0
good,470.0
been,460.0
i'm,444.0
how,441.0
he,438.0
or,429.0
think,422.0
day,420.0
know,418.0
an,418.0
from,414.0
now,413.0
will,395.0
lot,384.0
too,384.0
dont,377.0
see,370.0
who,364.0
go,361.0
today,346.0
being,341.0
watch,336.0
going,324.0
always,323.0
them,322.0
u,319.0
play,315.0
made,313.0
our,307.0
were,307.0
has,304.0
great,300.0
thank,296.0
lol,292.0
-,290.0
got,290.0
also,285.0
very,284.0
because,284.0
hope,280.0
night,278.0
want,277.0
us,277.0
don't,273.0
there,273.0
come,273.0
sounds,273.0
fact,271.0
back,265.0
playing,262.0
then,261.0
her,261.0
even,258.0
should,255.0
games,255.0
here,254.0
way,254.0
gonna,254.0
by,253.0
first,252.0
looks,251.0
new,250.0
only,245.0
these,244.0
his,243.0
live,242.0
well,241.0
fact:,239.0
stream,235.0
actually,235.0
still,232.0
oh,232.0
am,228.0
she,227.0
little,226.0
him,224.0
say,223.0
most,222.0
doing,219.0
did,219.0
thanks,214.0
why,210.0
everyone,210.0
thats,209.0
could,209.0
than,209.0
yeah,206.0
never,205.0
friday,200.0
watching,198.0
friends,197.0
need,197.0
last,196.0
their,196.0
guys,195.0
again,194.0
tonight,193.0
while,192.0
happy,192.0
into,191.0
shit,190.0
right,184.0
something,183.0
such,181.0
weekend,179.0
week,179.0
man,177.0
join,176.0
super,176.0
look,175.0
work,175.0
cant,174.0
after,173.0
yes,171.0
wanna,169.0
those,168.0
getting,166.0
2,166.0
things,162.0
take,161.0
you're,161.0
pretty,160.0
feel,159.0
thing,159.0
over,159.0
other,158.0
youre,158.0
nice,157.0
where,154.0
year,152.0
i've,150.0
best,149.0
said,149.0
someone,148.0
show,146.0
sure,145.0
t,144.0
that's,144.0
ive,144.0
makes,143.0
yall,140.0
every,140.0
ever,138.0
times,137.0
until,137.0
life,137.0
try,135.0
around,130.0
long,130.0
remember,129.0
wait,129.0
stuff,128.0
off,126.0
enjoy,126.0
any,125.0
big,124.0
wish,124.0
two,122.0
trying,121.0
let,121.0
though,121.0
:),121.0
looking,120.0
3,120.0
cool,120.0
years,119.0
same,119.0
thought,119.0
down,118.0
tho,117.0
ok,117.0
better,117.0
days,117.0
stop,116.0
@corpse_husband,115.0
please,115.0
lots,114.0
bad,114.0
used,114.0
many,113.0
halloween,112.0
safe,112.0
kids,111.0
next,111.0
twitter,110.0
keep,110.0
friend,109.0
w,108.0
omg,108.0
ill,107.0
might,107.0
find,107.0
give,105.0
maybe,105.0
before,105.0
tell,104.0
kinda,104.0
once,103.0
done,103.0
hey,103.0
party,103.0
hes,103.0
family,102.0
can't,102.0
since,101.0
check,101.0
team,101.0
both,100.0
real,100.0
birthday,100.0
trump,99.0
part,99.0
literally,99.0
among,98.0
another,98.0
mean,97.0
5,97.0
start,96.0
played,96.0
bc,96.0
use,95.0
lmao,95.0
which,95.0
i'll,94.0
talk,94.0
read,94.0
video,93.0
home,93.0
tomorrow,92.0
4,92.0
cute,92.0
amazing,92.0
few,92.0
ur,91.0
honestly,91.0
person,91.0
whole,89.0
s,89.0
bit,89.0
does,88.0
old,88.0
fuck,88.0
1,88.0
anything,87.0
miss,86.0
glad,86.0
guy,86.0
hard,86.0
through,85.0
theyre,84.0
went,84.0
okay,83.0
working,83.0
hate,83.0
favorite,83.0
loved,82.0
seems,82.0
anyone,82.0
haha,82.0
kind,82.0
@realdonaldtrump,82.0
definitely,81.0
didnt,81.0
put,81.0
sorry,81.0
school,81.0
movie,80.0
fucking,80.0
hell,80.0
world,79.0
awesome,79.0
nothing,77.0
n,77.0
care,77.0
music,77.0
least,77.0
already,77.0
probably,77.0
point,76.0
fall,76.0
stay,76.0
isnt,76.0
talking,76.0
sad,75.0
name,75.0
own,75.0
cause,75.0
th,74.0
different,74.0
girl,74.0
match,74.0
together,74.0
b,73.0
everything,73.0
idk,73.0
f,72.0
myself,72.0
season,72.0
win,72.0
follow,72.0
hours,71.0
funny,71.0
saying,71.0
yet,71.0
girls,71.0
he's,70.0
lets,70.0
house,70.0
story,69.0
let's,69.0
streaming,68.0
&lt,68.0
free,68.0
sometimes,67.0
may,67.0
enough,67.0
far,67.0
ppl,67.0
song,66.0
yourself,66.0
end,66.0
wanted,66.0
e,65.0
damn,64.0
able,64.0
10,64.0
started,63.0
dude,63.0
tweet,63.0
without,63.0
saw,63.0
away,62.0
coming,62.0
character,62.0
art,61.0
ass,61.0
help,61.0
),61.0
either,60.0
morning,60.0
job,60.0
white,60.0
full,60.0
guess,59.0
else,59.0
hi,59.0
o,59.0
bro,59.0
easy,58.0
call,58.0
post,58.0
isn't,58.0
place,57.0
theres,57.0
doesn't,57.0
gets,57.0
didn't,57.0
concert,56.0
m,56.0
gotta,56.0
almost,56.0
d,56.0
boy,56.0
smackdown,55.0
anymore,55.0
there's,55.0
using,55.0
run,55.0
aint,55.0
ya,54.0
hit,54.0
taking,54.0
learning,54.0
mom,54.0
ago,54.0
excited,54.0
ready,54.0
chat,53.0
id,53.0
wrong,53.0
seeing,53.0
rest,53.0
writing,53.0
later,53.0
each,53.0
hang,52.0
they're,52.0
thinking,52.0
hour,52.0
during,52.0
soon,52.0
luck,52.0
quite,51.0
money,51.0
especially,51.0
late,51.0
yo,51.0
tbh,50.0
must,50.0
baby,50.0
true,50.0
weird,50.0
beautiful,50.0
wow,49.0
hear,49.0
we're,49.0
h,49.0
noods,49.0
less,49.0
drunk,49.0
idea,49.0
class,49.0
draw,49.0
episode,49.0
high,48.0
watched,48.0
kid,48.0
learn,47.0
drawing,47.0
side,47.0
covid,47.0
half,47.0
starting,46.0
believe,46.0
top,46.0
finally,46.0
doesnt,46.0
twitch,46.0
seen,46.0
sound,46.0
bet,46.0
meet,46.0
@,45.0
series,45.0
reading,45.0
&gt,45.0
couple,45.0
havent,45.0
god,45.0
2020,45.0
r,44.0
set,44.0
wasnt,44.0
here's,44.0
hair,44.0
event,44.0
mind,43.0
understand,43.0
black,43.0
book,43.0
told,42.0
welcome,42.0
absolutely,42.0
course,42.0
ha,42.0
boys,42.0
account,42.0
i'd,42.0
head,41.0
:d,41.0
word,41.0
left,41.0
seem,41.0
single,41.0
trip,41.0
fan,41.0
biden,41.0
instead,41.0
wont,41.0
vote,41.0
bring,41.0
deserve,41.0
seriously,41.0
october,41.0
dream,41.0
called,41.0
anyway,41.0
group,41.0
imagine,41.0
mad,40.0
pls,40.0
boring,40.0
wouldnt,40.0
interested,40.0
joke,40.0
others,40.0
came,40.0
fans,40.0
listen,40.0
second,40.0
interesting,39.0
beat,39.0
agree,39.0
found,39.0
rn,39.0
ride,39.0
feeling,39.0
food,39.0
three,39.0
comes,39.0
l,39.0
online,39.0
finished,39.0
vs,39.0
month,38.0
fine,38.0
6,38.0
videos,38.0
characters,38.0
liked,38.0
between,38.0
lost,38.0
she's,38.0
whats,37.0
virtual,37.0
women,37.0
crazy,37.0
car,37.0
p,37.0
till,37.0
popular,37.0
lasted,36.0
shows,36.0
face,36.0
ask,36.0
dead,36.0
decided,36.0
mine,36.0
g,36.0
sleep,36.0
c,36.0
enjoyed,35.0
water,35.0
took,35.0
reason,35.0
small,35.0
evening,35.0
unfortunately,35.0
lil,35.0
open,35.0
shes,35.0
exactly,35.0
living,35.0
question,35.0
early,35.0
men,35.0
whatever,35.0
community,35.0
outside,34.0
facts,34.0
won't,34.0
dad,34.0
minutes,34.0
looked,34.0
hello,34.0
scary,34.0
usually,33.0
break,33.0
dumb,33.0
says,33.0
count,33.0
fu,33.0
itll,33.0
ones,33.0
fight,33.0
weeks,33.0
forward,33.0
totally,33.0
news,33.0
drink,32.0
alone,32.0
forget,32.0
actual,32.0
sweet,32.0
quick,32.0
room,32.0
tweets,32.0
genshin,32.0
experience,32.0
body,32.0
share,32.0
project,32.0
players,32.0
goes,32.0
young,32.0
turn,32.0
wasn't,32.0
hot,32.0
af,32.0
perfect,32.0
forgot,31.0
support,31.0
you've,31.0
phone,31.0
voice,31.0
buy,31.0
write,31.0
tried,31.0
die,31.0
bunch,31.0
add,31.0
under,31.0
//,31.0
gone,31.0
heard,31.0
past,31.0
send,31.0
spooky,30.0
felt,30.0
special,30.0
months,30.0
hahaha,30.0
7,30.0
arent,30.0
via,30.0
parties,30.0
laugh,30.0
drive,30.0
y,30.0
cry,30.0
move,30.0
challenge,30.0
eat,30.0
close,30.0
photo,29.0
nobody,29.0
serious,29.0
giving,29.0
film,29.0
supposed,29.0
moment,29.0
gave,29.0
movies,29.0
stupid,29.0
nah,29.0
hopefully,29.0
needs,29.0
against,29.0
scared,29.0
youtube,29.0
war,29.0
congrats,29.0
memories,29.0
pick,29.0
change,29.0
haven't,29.0
