,text,id
0,"['@meghanath9999', 'many', 'more', 'happy', 'returns', 'of', 'the', 'day', 'anna', 'sry', 'for', 'late', 'wishes']",1
1,"['happy', 'birthday', 'day', 'to', 'the', 'baby', 'https://t', 'co/5pxlvws7gz']",1
2,"['@amitanatverlal', 'some', 'one', 'will', 'not', 'be', 'happy', 'today', 'https://t', 'co/ztxulvewby']",1
3,"['@slutsfvck', 'dm', 'me', 'on', 'your', 'bday', 'so', 'i', 'can', 'wish', 'u', 'a', 'happy', 'bday']",1
4,"['@itschaepmunk', 'advance', 'happy', 'birthday', 'rin', 'bal', 'thank', 'youuuu']",1
5,"['happy', 'feelgoodfriday', 'https://t', 'co/w96e00zcvh']",1
6,"['thank', 'you', '@hurstboilers', 'for', 'sharing', 'what', 'a', 'great', 'video', 'to', 'end', 'the', 'week', 'we', ""can't"", 'wait', 'to', 'see', 'this', 'installed', 'and', 'https://t', 'co/skiepkhmui']",1
7,"['@eyr1a', 'happy', 'len', 'miku', 'day']",1
8,"['check', 'out', 'happy', 'friday', 'fam', '//join', 'our', 'community', 'discord', '//', 'discord', 'tiktok', 'https://t', 'co/b202xwys8c', 'hi', 'everyone', 'https://t', 'co/igtsgohtrp']",1
9,"['best', 'ways', 'to', 'start', 'a', 'weekend:', '1)', 'win', 'the', 'lottery', '2)', 'a', 'slow-smoked', 'two', 'inch', 'thick', 'hand', 'cut', 'pork', 'chop', '3)', 'happy', 'h', 'https://t', 'co/skotqe32zr']",1
10,"['@reeskose', 'happy', 'birthday']",1
11,"['@bsw5020', 'happy', 'birthday', 'thanks', 'for', 'reminding', 'us', 'all', 'that', 'every', 'day', 'is', 'precious']",1
12,"['@ksjm_12_72', '@raiders', '@ak7682', '@angelrdz66', '@silvernblackjwb', '@mrmiles02569390', '@esgardopinedo1', '@blitzchk', '@lher_02', 'https://t', 'co/yjgim29g16']",1
13,"['@meechee_jo', 'be', 'happy', 'our', 'president', 'deserve', 'all', 'the', 'love']",1
14,"['2020', 'happy', 'birthday', 'sweet', 'boy', 'https://t', 'co/pygrje1ok6']",1
15,"['happy', 'birthday', 'to', 'my', 'favorite', 'boy', 'look', 'how', 'far', 'youve', 'come', 'look', 'how', 'much', 'youve', 'achieved', 'already', 'look', 'how', 'many', 'g', 'https://t', 'co/87dm6xejb4']",1
16,"['happy', 'worldmentalhealthday', 'everyone', 'reminder', 'that', ""it's"", 'super', 'okay', 'to', 'feel', 'not', 'okay', 'and', ""it's"", 'okay', 'to', 'take', 'a', 'break', 'and', 'be', 'nice', 'to', 'urself', '&lt', '3']",1
17,"['@knowntodisagree', 'damn', 'happy', 'early', 'bday', 'to', 'the', 'kid']",1
18,"[""i'm"", 'disappointed', 'with', 'my', 'self', ""i'm"", 'not', 'good', 'enough', 'to', 'be', 'a', 'fans', 'for', 'you', 'i', ""don't"", 'deserve', ""y'all"", ""y'all"", 'guys', 'too', 'pre', 'https://t', 'co/yjwufyrqvs']",1
19,"['@dreamytobio', 'sha', 'ilysm', 'youre', 'so', 'valid', 'im', 'so', 'happy', 'for', 'you', 'pls']",1
20,"['@llamsoyd', 'happy', 'bday', 'my', 'g']",1
21,"['@unnamedgirl9', '@that_happy_gal', 'not', 'that', 'i', 'got', 'confused', 'between', 'saag', 'and', 'chatni', 'but', 'punjabis', 'make', 'the', 'best', 'dhania', 'chutneys', 'too']",1
22,"['@payoneer', '@payoneer_help', 'i', 'really', 'do', 'not', 'want', 'to', 'express', 'my', 'frustrations', 'here', 'but', 'you', 'are', 'yet', 'to', 'address', 'my', 'issues', 'https://t', 'co/8pgaeadaor']",1
23,"['when', 'i', 'see', 'ppl', 'with', 'their', 'family', 'they', 'look', 'so', 'happy', 'but', 'why', 'i', 'am', 'used', 'living', 'like', 'this']",1
24,"['@macroceli', 'happy', 'birthday', 'big', 'guy']",1
25,"['@intrnetnerd', '@stan_pewdiepie', 'saying', 'pogchamp', '/', 'pog', 'or', 'anything', 'like', 'that', 'refferes', 'to', 'being', 'happy', 'and', 'excited', 'about', 'https://t', 'co/dqbjenbrv0']",1
26,"['happy', 'thanksgiving', 'canada', 'happy', 'fall', 'gluten', 'free', 'pumpkin', 'spice', 'cheesecake', 'recipe', 'using', 'gluten-free', 'graham', 'cracker', 'https://t', 'co/mnjjmu594v']",1
27,"['@bedheadyoun', 'happy', 'anniversary', 'kiddo', 'kinkin', 'sas', 'its', 'me', 'thanking', 'you', 'so', 'much', 'for', 'bringing', 'ur', 'universe', 'to', 'us', 'tha', 'https://t', 'co/sjwxrrbtig']",1
28,"['@andfkthis', 'getting', 'this', 'happy', 'over', 'a', 'bird', 'i', 'thought', 'it', 'was', 'going', 'to', 'do', 'something']",1
29,"['happy', 'alohafriday']",1
30,"['@cactus_spl', ""that's"", 'understandable', 'i', 'hope', 'whoever', 'it', 'is', 'makes', 'you', 'happy']",1
31,"['@paisleygina', 'happy', 'birthday', 'jane', 'wishing', 'you', 'an', 'awesome', 'day', 'we', 'heard', 'of', 'this', 'new', 'online', 'activity', 'program', 'for', 'https://t', 'co/lw0drrnnv9']",1
32,"['happy', 'birthday', 'my', 'baby', 'girl', 'thank', 'you', 'for', 'lightning', 'my', 'days', 'with', 'your', 'brightness', 'and', 'kindness', 'be', 'happy', 'be', 'hea', 'https://t', 'co/wmqkyy3ubk']",1
33,"['@stiffkingshurst', 'happy', 'birthday', 'big', 'pete']",1
34,"['@wafflemaster_', 'happy', 'birthday', 'my', 'lil', 'libra']",1
35,"['@animeserbia', 'happy', 'birthday']",1
36,"['@roddreher', 'terrible', 'product', 'anyway', 'tastes', 'like', 'greasy', 'chemicals', 'ill', 'be', 'happy', 'to', 'continue', 'to', 'avoid', 'oreos']",1
37,"['just', 'make', 'it', 'so', 'u', 'cant', 'di', 'laser', 'on', 'back', 'throw', 'and', 'up', 'throw', 'this', 'is', 'all', 'i', 'want', 'for', 'falco', 'and', 'ill', 'be', 'happy', 'https://t', 'co/zqjscrn88p']",1
38,"['the', 'truth', 'is', 'scary', 'happy', 'halloween', 'https://t', 'co/krhlhtaikn']",1
39,"['@josh_ratliff734', 'you', 'are', 'pretty', 'awesome', 'yourself', 'happy', 'friday', 'have', 'a', 'great', 'weekend', 'too', 'https://t', 'co/yv36b7rkpb']",1
40,"['reading', 'death', 'comes', 'to', 'pemberley', 'and', 'listening', 'to', 'fleet', 'foxes', 'happy', 'weekend', 'https://t', 'co/p7q7ikmdbm', 'https://t', 'co/uu0ivc9bzg']",1
41,"['@pcu_union', '@micro_scoped', 'more', 'than', 'happy', 'to']",1
42,"['@kimbercosch', 'happy', 'friday', 'kim']",1
43,"['happy', 'fantasticflorafriday', 'this', 'week', ""we're"", 'spotlighting', ""bartram's"", 'ixia', 'an', 'endangered', 'species', 'native', 'to', 'only', 'seve', 'https://t', 'co/x83ktqclyp']",1
44,"['4/4:', 'marico', ':', 'profit', ':', '+2', '3r', 'price', 'rejection', 'from', 'previous', 'highs', 'with', 'slowing', 'momentum', 'followed', 'by', 'selling', 'wicks', 'https://t', 'co/a44t5frh8c']",1
45,"['i', 'know', 'you', 'have', 'lots', 'of', 'responsibilities', 'on', 'your', 'shoulder', 'bubu', 'you', 'are', 'doing', 'so', 'good', 'every', 'day', 'you', 'give', 'reason', 't', 'https://t', 'co/ssxnjeyb2j']",1
46,"['@ecrvenkatesh', 'wish', 'you', 'happy', 'birthday']",1
47,"['for', '1)', 'we', 'all', 'were', 'teased', 'in', 'school', '2)', 'black', 'panther', ""didn't"", 'affect', 'me', 'i', ""don't"", 'want', 'to', 'be', 'nigerian', 'bcuz', 'of', 'a', 'fic', 'https://t', 'co/hdjieyskx9']",1
48,"['seokjinie', 'i', 'missed', 'you', 'so', 'much', 'so', 'happy', 'to', 'see', 'you', 'post', ""can't"", 'wait', 'for', 'the', 'concert', 'love', 'you', 'so', 'much', 'b', 'https://t', 'co/3bhujkjps3']",1
49,"['happy', 'birthday', 'my', 'nigga', 'https://t', 'co/ocmxpxousu']",1
50,"['@enbylwt', 'thats', 'huge', 'omg', 'im', 'so', 'happy', 'for', 'you']",1
51,"['@cubeunited', '@cube_ptg', 'happy', 'anniversary', ""i'm"", 'so', 'proud', 'of', 'you', 'thanks', 'for', 'everything']",1
52,"['@legendaryenergy', 'nah', 'bruh', 'theyre', 'drunk', 'on', 'beer', 'pizza', 'and', 'just', 'happy', 'to', 'sit', 'on', 'their', 'fat', 'asses', 'and', 'not', 'think', 'wh', 'https://t', 'co/wjvlow0em3']",1
53,"['@vmkooker', '@audriseptiaaa', 'my', 'favv', 'chaotic', 'line', 'imagine', 'having', 'a', 'circle', 'of', 'friends', 'like', 'jijinjung', 'of', 'course', 'i', 'can', 'https://t', 'co/c1bwjms5fh']",1
54,"['fufufu~', 'im', 'happy', 'to', 'be', ""'friends'"", 'with', 'shu', 'as', 'well']",1
55,"['happy', 'anniv', 'to', 'my', 'fave', 'label', '&lt', '3', 'happyanniversaryaomg', 'https://t', 'co/fqeregpu8l']",1
56,"['@distillmike', 'happy', 'birthday', 'mike', 'this', 'is', 'the', 'ultimate', 'thread']",1
57,"['then', 'they', 'came', 'for', 'the', 'jews', 'and', 'i', 'did', 'not', 'speak', 'outbecause', 'i', 'was', 'not', 'a', 'jew', 'then', 'they', 'came', 'for', 'meand', 'there', 'was', 'https://t', 'co/owrrdnu45z']",1
58,"['@sunnyybloom', 'oh', 'i', 'get', 'you', 'sm', 'believe', 'me', 'math&lt', '&lt', '&lt', '&lt', 'yeah', 'im', 'still', 'doing', 'school', 'but', 'itll', 'be', 'over', 'quick', 'and', 'im', 'happy', 'its', 'fridaaayy']",1
59,"['@paisleygina', 'happy', 'birthday']",1
60,"['tonight', 'i', 'believe', 'and', '24/7', 'through', 'the', 'weekend', 'but', 'youll', 'have', 'to', 'check', 'their', 'facebook', 'im', 'not', '100%', 'sure', 'im', 'hap', 'https://t', 'co/wspkq0di76']",1
61,"['happy', 'birthday', 'to', 'my', 'uncle', 'eddie', 'i', 'miss', 'you', 'like', 'crazy', 'eras', 'mi', 'familia', 'por', 'siempre', 'y', 'para', 'siempre', 'https://t', 'co/9tjh9x1dhw']",1
62,"['lol', 'happy', 'birthday', 'https://t', 'co/rqtdgvzqmt']",1
63,"['haan', 'i', 'mean', 'from', 'heaven-the', ""god's"", 'place', 'he', '@itsssr', 'wd', 'have', 'certainly', 'felt', 'happy', 'love', 'n', 'shy', 'a', 'little', 'bit', 'watching', 'https://t', 'co/dmfzuem0pa']",1
64,"['@cube_ptg', 'happy', 'anniversary', 'naman', 'ser', ':)']",1
65,"['happy', 'friday', '@annabelvtiffin', '@kellyforan', '@suzanne_hailey', '@maireadtsmyth', '@naziamogra', '@ellymoritz', '@katiemawdor', '@naominwt']",1
66,"['even', 'tho', 'my', 'grandma', 'wasnt', 'a', 'morning', 'person', 'she', 'would', 'still', 'always', 'call', 'me', 'buttass', 'early', 'to', 'sign', 'my', 'happy', 'birthday', 'https://t', 'co/sxrsmwbszv']",1
67,"['got', 'one', 'of', 'my', 'life', 'today', 'and', 'i', 'cant', 'be', 'happy', 'because', 'of', 'sars', 'endsars', 'endpolicebrutality']",1
68,"['thank', 'you', '@potus', '@realdonaldtrump', '@whitehouse', 'and', 'happy', 'leif', 'erikson', 'day', 'to', 'all', 'https://t', 'co/5ujdwk6hww']",1
69,"['@cmullaa_', 'yessss', 'i', 'cant', 'wait', 'im', 'happy', 'she', 'found', 'her', 'equal', 'chill', 'https://t', 'co/sbyaqoqfi4']",1
70,"['thank', 'you', 'so', 'very', 'much', 'for', 'making', 'me', 'so', 'happy', 'wooyoung']",1
71,"['more', 'than', 'one', 'account', 'or', 'a', 'friend', 'is', 'happy', 'to', 'help', 'out', 'with', 'the', 'transaction', 'it', 'would', 'be', 'great', 'wl:', 'possibly', 'a', 'p', 'https://t', 'co/k9dvkepyvx']",1
72,"['happy', 'birthday', 'bae', 'happysuzyday', '20201010__', 'https://t', 'co/mumlegnuy2']",1
73,"['request', '@arashi5official', '@mtv', 'fridaylivestream', ""arashi's"", 'song', 'was', 'always', 'with', 'me', 'when', 'it', 'was', 'hard', 'sad', 'happy', 'a', 'https://t', 'co/srke0vpi70']",1
74,"['@bts4eva123', 'im', 'happy', 'for', 'you']",1
75,"['happy', 'birthday', 'yangyang', 'enjoy', 'your', 'day', 'bestiee', 'ourliuyangyangday', '1010', '10__', 'https://t', 'co/lp7owczyah']",1
76,"['@futterwackening', '@reallyswara', '@marijkedesouza', '@divyadutta25', '@azmishabana', '@kalyanmayee', '@priyasometimes', '@jitin0804', 'https://t', 'co/9npmgotl4y']",1
77,"['@dominicdemers5', 'happy', 'worldeggday']",1
78,"['@qasimrashid', 'been', 'following', 'you', 'and', 'happy', 'to', 'do', 'so']",1
79,"['happy', '1', 'month', 'in', 'kumu', 'and', 'happy', '5m', 'best', 'boi', '@brentymanalo']",1
80,"['@kaleidoband', '@codydawiz', 'i', 'read', 'that', 'at', 'first', 'as', 'happy', 'birthday', 'to', 'our', 'beast', 'whether', 'you', 'consider', 'that', 'an', 'insult', 'https://t', 'co/9n0xblo3ka']",1
81,"['happy', 'birthday', 'dee', 'god', 'bless', 'your', 'new', 'age', 'https://t', 'co/f05owbde6k']",1
82,"['coffee', 'much', 'coffee', 'time', 'to', 'grind', 'yall', 'happy', 'friday']",1
83,"['@ellis_crane', 'happy', 'happy', 'birthday']",1
84,"['@pedanticantics8', '@growthefkup', 'i', 'am', 'at', 'least', 'glad', 'it', 'is', 'devastating', 'the', 'entertainment', 'industry', 'especially', 'when', 'the', 'https://t', 'co/ow6qjcfyez']",1
85,"['happy', 'e', 'peter', 'https://t', 'co/bva9vqsm3x']",1
86,"['happy', '4th', 'anniversary', 'pentagon', 'i', 'fell', 'in', 'love', 'with', 'the', 'way', 'you', 'smile', 'laugh', 'the', 'way', 'you', 'dance', 'and', 'sing', ""you're"", 'so', 'https://t', 'co/2os7dn9ntd']",1
87,"['progress', 'not', 'quite', 'happy', 'about', 'all', 'of', 'them', 'but', 'urmmm', 'https://t', 'co/dv2ikcqhep']",1
