word,frequency
happy,13829.0
birthday,5075.0
to,4846.0
you,4205.0
i,3786.0
the,3564.0
and,3136.0
a,2757.0
so,2211.0
for,1986.0
my,1880.0
of,1660.0
be,1438.0
day,1356.0
is,1287.0
this,1177.0
friday,1176.0
in,1126.0
that,1075.0
love,1068.0
have,1052.0
me,1050.0
your,1013.0
with,987.0
im,945.0
it,937.0
all,904.0
we,872.0
are,871.0
on,765.0
anniversary,729.0
but,728.0
our,656.0
@cube_ptg,618.0
i'm,604.0
hope,593.0
thank,577.0
always,505.0
just,486.0
was,483.0
u,476.0
one,474.0
not,452.0
yangyang,439.0
today,434.0
if,429.0
good,426.0
4th,417.0
at,416.0
will,415.0
much,411.0
as,409.0
am,396.0
best,393.0
he,368.0
like,361.0
from,359.0
make,359.0
very,354.0
see,350.0
what,348.0
can,346.0
more,339.0
they,338.0
weekend,327.0
wish,322.0
pentagon,318.0
do,316.0
great,315.0
about,315.0
happy4everwithpentagon,308.0
time,307.0
makes,307.0
@cubeunited,305.0
us,304.0
up,302.0
how,301.0
know,298.0
its,289.0
now,287.0
get,286.0
years,283.0
an,281.0
__4,281.0
when,280.0
really,271.0
life,270.0
out,264.0
been,264.0
people,261.0
bday,259.0
everyone,249.0
being,235.0
no,235.0
it's,234.0
ourliuyangyangday,234.0
her,233.0
who,220.0
want,217.0
baby,215.0
1010,209.0
by,209.0
too,207.0
or,206.0
them,206.0
first,205.0
suzy,205.0
3,203.0
stay,202.0
would,202.0
year,201.0
-,200.0
beautiful,197.0
john,196.0
his,195.0
because,193.0
him,191.0
only,191.0
&lt,187.0
here,184.0
happysuzyday,183.0
some,180.0
many,179.0
has,179.0
go,178.0
please,177.0
made,176.0
well,175.0
got,173.0
enjoy,173.0
may,168.0
4,163.0
don't,162.0
feel,160.0
morning,159.0
man,157.0
she,157.0
back,157.0
keep,157.0
new,156.0
still,156.0
never,155.0
there,152.0
their,149.0
look,148.0
proud,147.0
dont,147.0
you're,146.0
amazing,144.0
thanks,144.0
10__,143.0
world,142.0
say,141.0
wishing,139.0
even,139.0
healthy,139.0
thanksgiving,138.0
work,138.0
these,138.0
little,137.0
2020,134.0
boys,133.0
ever,133.0
@cubeclc,132.0
take,131.0
boy,130.0
long,130.0
seunghee,129.0
why,126.0
week,125.0
20201010__,125.0
were,125.0
had,125.0
most,124.0
come,123.0
guys,121.0
than,120.0
going,119.0
help,117.0
again,117.0
queen,116.0
way,116.0
friends,115.0
happiness,115.0
did,115.0
also,114.0
yall,113.0
think,112.0
sad,112.0
hard,112.0
god,111.0
omg,111.0
oh,110.0
youre,110.0
then,110.0
need,109.0
