,text,id
0,"['@joyvbehar', '@cnn', '@cnnopinion', 'you', 'hated', 'him', 'you', 'bashed', 'him', 'everyday', 'on', 'your', 'shit', 'show', 'you', 'get', 'more', 'pathetic', 'https://t', 'co/mb4egtsbdx']",3
1,"['i', 'cant', 'change', 'the', 'world', 'but', 'i', 'can', 'change', 'the', 'little', 'bit', 'around', 'me', 'the', 'joy', 'of', '2minutebeachclean', '-', 'fresh', 'air', 'https://t', 'co/ld7yamkbfs']",3
2,"['c', 'o', 'n', 'g', 'r', 'u', 'l', 'a', 't', 'i', 'o', 'n', 's', 'wahoo', '2', 'you', 'dreams', 'can', 'do', 'come', 'true', 'w/', 'fortitude', 'desire', 'tears', 'of', 'joy', '~', 'well', 'do', 'https://t', 'co/62ipx2kqhj']",3
3,"['im', 'sitting', 'here', 'in', 'the', 'dawn', 'light', 'the', 'house', 'is', 'quiet', 'after', 'we', 'all', 'stayed', 'up', 'to', 'watch', 'the', 'concert', '(even', 'my', 'hubby', ')', 'https://t', 'co/kgxkq2jacz']",3
4,"['the', 'brads', 'in', 'leafsforever', 'nation', 'need', 'to', 'cool', 'it', ""they're"", 'really', 'showing', 'their', 'true', 'colours', 'great', 'to', 'see', 'more', 'p', 'https://t', 'co/qzluuq2yvr']",3
5,"['[official]', '201010', 'joy', 'instagram', 'update', 'redvelvet', '@rvsmtown', 'https://t', 'co/pvgdm36que', 'https://t', 'co/4anltnate5']",3
6,"['omo', ""you're"", 'very', 'mad', 'cretins', 'like', 'you', 'ought', 'to', 'be', 'banished', 'off', 'the', 'surface', 'of', 'the', 'world', 'https://t', 'co/tldkz7pwoa']",3
7,"['@cutupx2', 'a', 'thing', 'of', 'boo-t', 'is', 'a', 'joy', 'forever']",3
8,"['@rickortschwifty', '@thesupremelady1', '@kowaisnail', 'wait', 'what', 'if', 'it', 'was', 'an', 'older', 'morty', 'from', 'like', 'the', 'future', 'or', 'another', 'https://t', 'co/yfpwq1ukfu']",3
9,"['@fblogpreneur', 'thanks', 'for', 'the', 'lift', 'everyone', 'has', 'a', 'story', ""that's"", 'true', ""we've"", 'all', 'had', 'childhoods', 'filled', 'https://t', 'co/0t9grnjviz']",3
10,"['so', 'good-bye', 'please', ""don't"", 'cry', 'we', 'both', 'know', ""i'm"", 'taking', 'with', 'me', 'so', ""i'll"", 'always', 'love', 'you', 'i', 'know', ""i'll"", 'always', 'love', 'you', 'joy', 'and']",3
11,"['@indecisivednp', 'hh', 'dont', 'apologise', 'joy', 'im', 'so', 'sorry', 'i', 'hope', 'u', 'feel', 'better', 'soon', ':((', 'ily', 'https://t', 'co/j7cixg3smh']",3
12,"['and', 'u', 'guys', 'like', 'im', 'spending', 'a', 'lot', 'but', 'this', 'makes', 'me', 'happy', 'so', 'i', 'let', 'myself', 'spend', 'money', 'on', 'it', 'and', 'i', 'think', 'thats', 'o', 'https://t', 'co/jmtcoaljga']",3
13,"['success', 'is', 'in', 'the', 'air']",3
14,"['@strawhatjirou', 'will', 'try', 'will', 'try']",3
15,"['@davidbcollum', 'ironically', 'her', 'video', 'angst', 'has', 'brought', 'the', 'world', 'such', 'joy']",3
