word,frequency
joy,9328.0
the,6695.0
and,5074.0
to,4604.0
i,4452.0
of,4401.0
you,4387.0
a,4205.0
is,2744.0
in,2430.0
my,2135.0
for,2125.0
with,2032.0
this,1957.0
so,1779.0
it,1767.0
me,1693.0
that,1654.0
your,1565.0
love,1193.0
much,1160.0
on,1159.0
be,1131.0
have,1104.0
are,1066.0
all,990.0
we,965.0
but,957.0
happy,854.0
no,770.0
was,766.0
just,750.0
not,733.0
they,700.0
day,693.0
will,671.0
like,670.0
as,656.0
how,648.0
-,630.0
at,620.0
life,616.0
thank,615.0
what,603.0
from,591.0
when,568.0
our,556.0
@joy_villa,549.0
he,539.0
can,538.0
an,513.0
good,509.0
us,507.0
bring,496.0
if,485.0
one,484.0
birthday,483.0
im,478.0
do,476.0
@holdenheim1,474.0
happiness,469.0
may,468.0
its,463.0
by,460.0
people,446.0
get,445.0
has,440.0
always,427.0
@simonpopedk,427.0
more,425.0
brings,425.0
who,423.0
see,422.0
@ninjasocialist,416.0
know,408.0
hope,404.0
up,401.0
been,378.0
@falconer084,368.0
time,365.0
morning,364.0
now,362.0
out,359.0
or,351.0
them,350.0
his,350.0
there,348.0
about,347.0
tears,345.0
today,331.0
@shahjoffe,328.0
she,324.0
i'm,322.0
her,318.0
it's,317.0
only,314.0
heart,305.0
@natsprat3,301.0
filled,297.0
feel,295.0
u,295.0
@shotgunrain5746,283.0
every,283.0
some,283.0
@3nigmatic_01,282.0
really,281.0
god,279.0
am,278.0
their,278.0
give,274.0
@avagracevip,273.0
great,268.0
never,268.0
make,268.0
being,266.0
want,264.0
go,263.0
@medusahypatia,263.0
@expelincels,262.0
even,261.0
such,261.0
world,244.0
don't,239.0
here,237.0
too,236.0
@bts_twt,235.0
very,235.0
beautiful,231.0
think,229.0
because,228.0
find,227.0
him,227.0
dont,226.0
would,226.0
many,225.0
year,222.0
got,222.0
@sr_duncan,222.0
had,220.0
into,220.0
full,218.0
best,216.0
these,216.0
wish,213.0
peace,213.0
still,212.0
little,211.0
new,210.0
way,210.0
things,205.0
pure,203.0
take,202.0
right,199.0
say,197.0
brought,196.0
than,196.0
well,195.0
saturday,190.0
why,189.0
did,188.0
need,188.0
those,188.0
let,187.0
were,186.0
endsars,184.0
please,182.0
again,181.0
bts,180.0
oh,180.0
first,178.0
thanks,174.0
wishing,173.0
any,173.0
watch,172.0
most,171.0
man,169.0
gives,169.0
better,169.0
back,167.0
thing,165.0
also,163.0
over,163.0
live,163.0
other,161.0
something,159.0
seeing,158.0
work,156.0
look,156.0
years,154.0
could,154.0
come,150.0
last,148.0
then,146.0
ever,145.0
going,145.0
amazing,144.0
cant,143.0
t,143.0
made,141.0
through,140.0
lord,139.0
wonderful,139.0
same,135.0
watching,134.0
everyone,133.0
giving,132.0
after,131.0
days,131.0
+,130.0
help,130.0
smile,128.0
should,128.0
health,127.0
pain,125.0
hard,125.0
can't,124.0
yes,123.0
where,123.0
keep,123.0
bringing,122.0
team,122.0
everything,122.0
felt,122.0
nothing,119.0
@genintact,118.0
fun,118.0
cry,117.0
red,116.0
someone,114.0
ive,112.0
lot,112.0
2,112.0
while,111.0
show,111.0
face,110.0
crying,110.0
true,110.0
concert,110.0
anything,109.0
o,108.0
miss,108.0
doing,107.0
person,107.0
nice,107.0
enjoy,106.0
without,106.0
weekend,105.0
pride,104.0
remember,104.0
trump,103.0
times,103.0
you're,103.0
long,102.0
n,102.0
family,102.0
making,102.0
does,102.0
big,100.0
words,99.0
youre,99.0
night,99.0
having,98.0
music,98.0
said,98.0
end,97.0
dear,97.0
both,97.0
week,96.0
feeling,96.0
makes,96.0
sad,96.0
friends,96.0
around,95.0
during,94.0
thats,94.0
3,94.0
guys,93.0
special,93.0
baby,93.0
|,93.0
done,92.0
home,91.0
that's,91.0
share,90.0
must,88.0
song,88.0
away,88.0
mind,88.0
mental,88.0
moment,88.0
since,87.0
getting,87.0
light,87.0
sure,87.0
another,87.0
real,86.0
down,86.0
off,86.0
put,85.0
kind,85.0
1,85.0
sorry,85.0
each,85.0
friend,84.0
jimin,84.0
listen,84.0
there's,83.0
literally,83.0
others,83.0
division,83.0
reid,82.0
bless,82.0
few,81.0
th,81.0
which,81.0
theres,81.0
yourself,81.0
i've,80.0
comes,79.0
lol,79.0
s,79.0
wait,79.0
thought,78.0
e,78.0
next,78.0
video,78.0
sometimes,78.0
boy,78.0
experience,77.0
hi,77.0
own,77.0
looks,77.0
lives,77.0
endsarsnow,76.0
before,76.0
tweet,75.0
2020,75.0
worldmentalhealthday,75.0
stop,75.0
part,75.0
old,75.0
looking,74.0
play,74.0
found,74.0
lovely,73.0
try,73.0
ur,73.0
game,73.0
gave,72.0
care,72.0
hear,72.0
boys,72.0
two,72.0
name,72.0
together,72.0
10,72.0
@joy_afi,71.0
tell,71.0
dey,71.0
able,71.0
congratulations,71.0
fills,70.0
whole,70.0
place,70.0
w,70.0
twitter,70.0
start,70.0
nowplaying,69.0
playing,69.0
glad,69.0
finding,68.0
myself,68.0
call,68.0
aseul,67.0
source,67.0
anyone,67.0
post,67.0
4,67.0
via,67.0
blessed,67.0
bad,66.0
absolute,66.0
laughter,66.0
soul,66.0
actually,66.0
y,66.0
though,66.0
girl,66.0
maybe,66.0
velvet,65.0
seulrene,65.0
m,65.0
until,65.0
@rvsmtown,64.0
finally,64.0
trying,64.0
deserve,64.0
black,64.0
believe,63.0
eyes,63.0
l,63.0
enough,63.0
switch,62.0
@realdonaldtrump,62.0
fill,62.0
grateful,62.0
read,62.0
5,61.0
gonna,61.0
once,61.0
hes,61.0
&gt,61.0
sweet,61.0
truly,61.0
seulgi,60.0
neon,60.0
coming,60.0
@housewivesofslc,60.0
stay,60.0
loved,60.0
understand,60.0
biden,59.0
living,59.0
bundle,59.0
jesus,59.0
beauty,59.0
order,59.0
dress,59.0
greatest,58.0
comfort,58.0
/,58.0
b,58.0
proud,58.0
nintendo,58.0
king,57.0
energy,57.0
c,57.0
small,57.0
d,57.0
100%,57.0
cried,56.0
use,56.0
imagine,56.0
bit,56.0
i'll,56.0
book,56.0
spread,55.0
talk,55.0
fan,55.0
lots,55.0
wanted,55.0
support,55.0
hey,54.0
tonight,54.0
art,54.0
mapofthesoulone,54.0
forever,54.0
fucking,54.0
already,53.0
@buybarbiex,53.0
free,53.0
hello,53.0
radio,53.0
fans,52.0
smiles,52.0
whenever,52.0
story,52.0
past,52.0
change,52.0
called,52.0
sharing,52.0
point,51.0
excited,51.0
