,text,id
0,"['@republic', '@pradip103', '@arnabofficial9', 'u', 'asli', 'played', 'with', 'our', 'emotion', 'right', 'frm', 'last', '2', 'days', 'not', 'a', 'single', 'news', 'o', 'https://t', 'co/erkhxhde2z']",5
1,"[""i'm"", 'now', 'convinced', 'that', 'most', 'of', 'the', 'monbebes', 'are', 'multi', 'fandom', 'and', ""i'm"", 'very', 'sad', ':(']",5
2,"['@sylviadeedee', 'yep', 'confidence', 'tricks', 'are', 'as', 'old', 'as', 'the', 'hills', 'there', 'have', 'always', 'been', 'two', 'essential', 'elements', 'for', 'th', 'https://t', 'co/r1cqjzeanl']",5
3,"['sad', 'i', 'miss', 'him', 'https://t', 'co/pnk1q2nrc8']",5
4,"['love', 'puts', 'the', 'fun', 'in', 'together', 'the', 'sad', 'in', 'apart', 'and', 'the', 'joy', 'in', 'a', 'heart']",5
5,"['@keletsoms', 'that', 'must', 'be', 'sad', 'yazi']",5
6,"['@unattened', '@kittybunny470', '@megalorain', '@2dzz2', '@phil_lewis_', 'the', 'cell', 'line', 'is', 'from', 'fetal', 'tissue', 'gathered', 'back', 'n', '1980', 'https://t', 'co/zioelazjpz']",5
7,"['back', 'to', 'staying', 'alone', 'the', 'lil', 'one', 'just', 'left', 'to', 'say', 'im', 'sad', 'would', 'be', 'an', 'understatement']",5
8,"['people', 'swear', 'they', 'wanna', 'be', 'my', 'friend', 'till', 'im', 'mad', 'sad', 'happy', 'den', 'i', 'get', 'goofy']",5
9,"['@devonlivenews', 'sad', 'losers', 'https://t', 'co/li4a5ezq04']",5
10,"['@lifemathmoney', 'the', 'worst', 'thing', 'is', 'these', 'fatsos', 'have', 'given', 'up', 'on', 'health', 'altogether', 'sad', 'to', 'see', 'them', 'be', 'proud', 'for', 'ea', 'https://t', 'co/hyxuvkz2tv']",5
11,"['being', 'sad', 'with', 'the', 'right', 'person', 'is', 'better', 'than', 'being', 'happy', 'with', 'the', 'wrong', 'one']",5
12,"['@chiyangwaashley', '@colletkahona', '@itssimplysandra', 'she', 'already', 'is', 'a', 'very', 'bitter', 'and', 'sad', 'woman']",5
13,"['@c_e_heaux', 'why', 'you', 'sad', 'about', 'dis', 'https://t', 'co/8zx7c5xa80']",5
14,"['guess', 'i', 'wont', 'feel', 'sad', 'anymore', 'when', 'i', 'listen', 'to', 'foals']",5
15,"['the', 'cheers', 'got', 'me', 'real', 'sad']",5
16,"['@paulmer53', 'i', 'found', 'it', 'so', 'sad', 'when', 'i', 'worked', 'in', 'a', 'school', 'poor', 'kids', 'neglected', 'by', 'druggie', 'parents', 'who', 'had', 'social', 'worker', 'https://t', 'co/ak64b2bbpb']",5
17,"['@vitalvegas', 'its', 'sad', 'they', 'even', 'have', 'to', 'put', 'this', 'sign', 'up']",5
18,"['im', 'crying', 'im', 'so', 'sad']",5
19,"['this', 'makes', 'me', 'so', 'sad', 'they', ""couldn't"", 'be', 'doing', 'a', 'worse', 'job', 'corruption', 'is', 'rife', 'they', 'are', 'wasting', 'our', 'money', 'at', 'huge', 'ra', 'https://t', 'co/wp9qi71msl']",5
20,"['feeling', 'sad', 'just', 'reread', 'the', 'ending', 'of', 'ck']",5
21,"['@sadfuckhell', 'why', 'so', 'sad', 'babe', 'dm', 'me', 'and', ""i'll"", 'make', 'you', 'happy']",5
22,"['aw', 'sad']",5
23,"['@thecuteabiola', 'y', 'are', 'u', 'so', 'sad', 'be', 'a', 'man', 'resign', 'and', 'join', 'us']",5
24,"['sad', 'girl', 'hours']",5
25,"['thinking', 'a', 'a', 'bit', 'about', 'edwin', 'tonight', 'after', 'looking', 'thru', 'some', 'tumblr', 'stuffs', 'again', 'they', 'never', 'got', 'to', 'see', 'my', 'art', 'and', 'https://t', 'co/lftlw739kn']",5
26,"['just', 'got', 'hit', 'with', 'a', 'wave', 'of', 'sad', 'i', 'miss', 'sasha', 'and', 'tim', 'https://t', 'co/zftsnwfre9']",5
27,"['even', 'when', 'everything', 'looks', 'sad', 'and', 'it', 'looks', 'like', 'nothing', 'is', 'working', 'you', 'are', 'working', 'thank', 'you', '@gtbank']",5
28,"['if', 'i', 'see', 'anyone', 'sad', 'i', 'feel', 'like', 'im', 'supposed', 'to', 'make', 'them', 'in', 'sad', 'because', 'i', 'know', 'what', 'its', 'like', 'to', 'not', 'want', 'to', 'wake', 'https://t', 'co/ii1lcxbt9o']",5
29,"['@ioverslept', 'not', 'sad', 'just', 'vibing']",5
30,"['@onlyxxio', ""that's"", 'whole', 'point', 'gotta', 'make', 'u', 'weak', 'for', 'me', ')']",5
