word,frequency
sad,12898.0
i,6972.0
the,4647.0
to,4585.0
and,4256.0
so,3958.0
a,3330.0
is,3167.0
im,2513.0
that,2414.0
this,2366.0
you,2342.0
it,2190.0
of,2178.0
me,1890.0
my,1876.0
but,1860.0
for,1634.0
in,1604.0
be,1598.0
just,1396.0
its,1273.0
was,1141.0
not,1110.0
have,1074.0
like,1035.0
are,1009.0
on,914.0
when,875.0
they,843.0
with,830.0
i'm,829.0
really,793.0
all,786.0
he,773.0
we,769.0
about,711.0
now,695.0
it's,689.0
how,682.0
people,674.0
feel,673.0
get,663.0
if,660.0
no,645.0
at,621.0
dont,618.0
your,609.0
what,606.0
very,595.0
do,573.0
why,564.0
am,563.0
see,542.0
one,540.0
up,527.0
know,515.0
as,506.0
because,492.0
or,469.0
u,465.0
time,458.0
makes,454.0
out,441.0
can,439.0
happy,431.0
will,430.0
love,428.0
being,425.0
think,413.0
too,410.0
even,409.0
them,405.0
from,403.0
make,395.0
still,385.0
his,373.0
been,373.0
who,362.0
thats,356.0
got,356.0
don't,353.0
has,340.0
want,339.0
him,333.0
her,332.0
some,331.0
an,330.0
more,324.0
much,322.0
go,321.0
life,316.0
had,315.0
good,314.0
never,314.0
day,313.0
she,310.0
cant,307.0
their,287.0
would,283.0
there,277.0
only,276.0
shit,274.0
today,260.0
then,256.0
going,256.0
always,254.0
by,253.0
man,251.0
made,251.0
say,249.0
kinda,241.0
endsars,240.0
over,240.0
these,238.0
also,235.0
someone,229.0
back,224.0
here,223.0
thing,222.0
bc,219.0
gonna,218.0
us,218.0
our,215.0
watch,214.0
last,213.0
were,212.0
oh,209.0
need,207.0
same,207.0
feeling,207.0
again,205.0
that's,203.0
way,194.0
look,194.0
many,193.0
fucking,191.0
actually,191.0
hate,188.0
lol,186.0
hours,185.0
did,185.0
right,183.0
song,181.0
miss,180.0
making,176.0
after,174.0
bad,172.0
didnt,167.0
-,166.0
friends,166.0
true,165.0
sorry,165.0
can't,165.0
ever,164.0
things,164.0
every,164.0
such,164.0
ive,163.0
well,162.0
yall,155.0
little,151.0
than,151.0
getting,151.0
night,150.0
wanna,150.0
should,149.0
yeah,149.0
something,148.0
first,147.0
lot,147.0
fuck,146.0
stop,145.0
part,145.0
better,145.0
said,143.0
literally,142.0
please,142.0
hope,139.0
yes,138.0
live,136.0
cry,136.0
watching,136.0
concert,135.0
other,135.0
youre,135.0
story,134.0
ur,133.0
any,133.0
okay,133.0
year,132.0
rn,129.0
come,129.0
off,129.0
nothing,128.0
could,128.0
while,127.0
news,127.0
hear,126.0
you're,125.0
cause,125.0
2,124.0
where,124.0
those,124.0
thought,124.0
take,123.0
myself,122.0
world,122.0
everyone,121.0
@realdonaldtrump,120.0
doing,119.0
tweet,118.0
god,118.0
years,118.0
show,118.0
into,117.0
ok,117.0
down,116.0
girl,116.0
omg,115.0
anymore,115.0
person,115.0
funny,114.0
find,114.0
already,114.0
most,114.0
another,114.0
best,113.0
crying,113.0
days,113.0
idk,112.0
anything,111.0
big,111.0
trump,111.0
t,111.0
sleep,110.0
talk,110.0
thank,110.0
fact,110.0
keep,110.0
w,109.0
pretty,109.0
real,109.0
remember,108.0
sometimes,108.0
family,108.0
let,108.0
everything,107.0
tell,107.0
bro,106.0
end,106.0
music,105.0
play,105.0
didn't,104.0
seeing,104.0
songs,104.0
new,102.0
away,100.0
damn,99.0
kind,99.0
boy,98.0
used,98.0
before,98.0
which,98.0
hard,98.0
friend,97.0
heart,97.0
mad,96.0
honestly,96.0
help,96.0
tired,96.0
truth,95.0
own,95.0
wish,95.0
n,95.0
hes,94.0
country,94.0
times,94.0
3,93.0
reason,93.0
lost,92.0
ass,92.0
whole,92.0
since,91.0
trying,91.0
wow,91.0
old,90.0
two,90.0
work,90.0
guys,89.0
left,89.0
twitter,89.0
does,88.0
done,88.0
ill,88.0
great,88.0
mean,86.0
listen,86.0
bitch,86.0
b,86.0
anyone,86.0
tonight,86.0
face,85.0
having,85.0
able,84.0
tho,84.0
both,83.0
must,83.0
thinking,83.0
yet,83.0
read,83.0
though,83.0
alone,83.0
&lt,82.0
give,81.0
lmao,81.0
looking,81.0
happened,81.0
without,80.0
home,80.0
saw,80.0
wait,80.0
wrong,79.0
s,79.0
cute,79.0
money,79.0
may,79.0
wont,77.0
went,77.0
try,77.0
reality,76.0
i've,76.0
understand,76.0
looks,76.0
wtf,75.0
guy,75.0
:((,74.0
fun,74.0
he's,74.0
baby,74.0
th,74.0
probably,74.0
video,73.0
few,73.0
beautiful,73.0
believe,72.0
cuz,72.0
r,72.0
pls,72.0
i'll,72.0
care,71.0
isnt,71.0
ppl,70.0
long,70.0
guess,70.0
through,69.0
dog,69.0
black,67.0
doesnt,66.0
angry,66.0
doesn't,66.0
game,66.0
post,65.0
lonely,65.0
sure,65.0
felt,64.0
put,64.0
state,64.0
start,64.0
around,63.0
women,63.0
rest,63.0
bit,63.0
until,63.0
week,62.0
finished,62.0
yourself,62.0
point,62.0
died,62.0
talking,62.0
1,61.0
soon,61.0
dead,61.0
missed,61.0
gets,61.0
super,60.0
m,60.0
ago,60.0
theyre,60.0
tweets,59.0
bye,59.0
least,59.0
else,59.0
once,59.0
told,58.0
past,58.0
maybe,58.0
ending,58.0
enough,58.0
next,57.0
smile,57.0
watched,57.0
media,57.0
coming,57.0
imagine,56.0
excited,56.0
saying,56.0
almost,56.0
kids,56.0
seen,56.0
wanted,56.0
send,56.0
amazing,55.0
leave,55.0
poor,55.0
listening,55.0
hi,55.0
white,55.0
sick,54.0
truly,54.0
c,54.0
tbh,54.0
h,54.0
hurt,54.0
call,54.0
drunk,54.0
abt,53.0
stupid,53.0
tl,53.0
eyes,52.0
moment,52.0
parents,52.0
together,52.0
birthday,52.0
playing,52.0
stuff,52.0
mind,52.0
needs,52.0
either,51.0
isn't,51.0
morning,51.0
stay,51.0
havent,50.0
whenever,50.0
die,50.0
they're,50.0
came,50.0
support,50.0
become,50.0
started,50.0
full,50.0
e,49.0
different,49.0
death,49.0
glad,49.0
high,49.0
lil,49.0
hell,49.0
fr,48.0
gone,48.0
movie,48.0
wasnt,48.0
2020,48.0
bts,48.0
dad,48.0
season,48.0
gotta,48.0
during,48.0
@bts_twt,47.0
thanks,47.0
pain,47.0
couldnt,47.0
young,47.0
happen,47.0
nice,47.0
dude,47.0
might,47.0
hey,46.0
crazy,46.0
id,46.0
head,46.0
favorite,46.0
far,46.0
found,46.0
against,46.0
vote,46.0
laugh,45.0
heard,45.0
enjoy,45.0
bed,45.0
yesterday,45.0
name,45.0
playlist,45.0
:/,45.0
whats,45.0
house,45.0
feels,45.0
boys,44.0
use,44.0
af,44.0
y,44.0
