,word,frequency
0,happy,13829.0
1,birthday,5075.0
2,to,4846.0
3,you,4205.0
4,i,3786.0
5,the,3564.0
6,and,3136.0
7,a,2757.0
8,so,2211.0
9,for,1986.0
10,my,1880.0
11,of,1660.0
12,be,1438.0
13,day,1356.0
14,is,1287.0
15,this,1177.0
16,friday,1176.0
17,in,1126.0
18,that,1075.0
19,love,1068.0
20,have,1052.0
21,me,1050.0
22,your,1013.0
23,with,987.0
24,im,945.0
25,it,937.0
26,all,904.0
27,we,872.0
28,are,871.0
29,on,765.0
30,anniversary,729.0
31,but,728.0
32,our,656.0
33,@cube_ptg,618.0
34,i'm,604.0
35,hope,593.0
36,thank,577.0
37,always,505.0
38,just,486.0
39,was,483.0
40,u,476.0
41,one,474.0
42,not,452.0
43,yangyang,439.0
44,today,434.0
45,if,429.0
46,good,426.0
47,4th,417.0
48,at,416.0
49,will,415.0
50,much,411.0
51,as,409.0
52,am,396.0
53,best,393.0
54,he,368.0
55,like,361.0
56,from,359.0
57,make,359.0
58,very,354.0
59,see,350.0
60,what,348.0
61,can,346.0
62,more,339.0
63,they,338.0
64,weekend,327.0
65,wish,322.0
66,pentagon,318.0
67,do,316.0
68,great,315.0
69,about,315.0
70,happy4everwithpentagon,308.0
71,time,307.0
72,makes,307.0
73,@cubeunited,305.0
74,us,304.0
75,up,302.0
76,how,301.0
77,know,298.0
78,its,289.0
79,now,287.0
80,get,286.0
81,years,283.0
82,an,281.0
83,__4,281.0
84,when,280.0
85,really,271.0
86,life,270.0
87,out,264.0
88,been,264.0
89,people,261.0
90,bday,259.0
91,everyone,249.0
92,being,235.0
93,no,235.0
94,it's,234.0
95,ourliuyangyangday,234.0
96,her,233.0
97,who,220.0
98,want,217.0
99,baby,215.0
100,1010,209.0
101,by,209.0
102,too,207.0
103,or,206.0
104,them,206.0
105,first,205.0
106,suzy,205.0
107,3,203.0
108,stay,202.0
109,would,202.0
110,year,201.0
111,-,200.0
112,beautiful,197.0
113,john,196.0
114,his,195.0
115,because,193.0
116,him,191.0
117,only,191.0
118,&lt,187.0
119,here,184.0
120,happysuzyday,183.0
121,some,180.0
122,many,179.0
123,has,179.0
124,go,178.0
125,please,177.0
126,made,176.0
127,well,175.0
128,got,173.0
129,enjoy,173.0
130,may,168.0
131,4,163.0
132,don't,162.0
133,feel,160.0
134,morning,159.0
135,man,157.0
136,she,157.0
137,back,157.0
138,keep,157.0
139,new,156.0
140,still,156.0
141,never,155.0
142,there,152.0
143,their,149.0
144,look,148.0
145,proud,147.0
146,dont,147.0
147,you're,146.0
148,amazing,144.0
149,thanks,144.0
150,10__,143.0
151,world,142.0
152,say,141.0
153,wishing,139.0
154,even,139.0
155,healthy,139.0
156,thanksgiving,138.0
157,work,138.0
158,these,138.0
159,little,137.0
160,2020,134.0
161,boys,133.0
162,ever,133.0
163,@cubeclc,132.0
164,take,131.0
165,boy,130.0
166,long,130.0
167,seunghee,129.0
168,why,126.0
169,week,125.0
170,20201010__,125.0
171,were,125.0
172,had,125.0
173,most,124.0
174,come,123.0
175,guys,121.0
176,than,120.0
177,going,119.0
178,help,117.0
179,again,117.0
180,queen,116.0
181,way,116.0
182,friends,115.0
183,happiness,115.0
184,did,115.0
185,also,114.0
186,yall,113.0
187,think,112.0
188,sad,112.0
189,hard,112.0
190,god,111.0
191,omg,111.0
192,oh,110.0
193,youre,110.0
194,then,110.0
195,need,109.0
196,smile,108.0
197,bro,107.0
198,safe,107.0
199,right,105.0
200,doing,105.0
201,happyyangyangday,104.0
202,family,104.0
203,making,103.0
204,wonderful,103.0
205,:),103.0
206,lot,102.0
207,cant,102.0
208,ur,101.0
209,person,101.0
210,leif,101.0
211,dear,100.0
212,lennon,100.0
213,t,99.0
214,seeing,99.0
215,favorite,99.0
216,everything,98.0
217,could,97.0
218,big,97.0
219,girl,97.0
220,deserve,97.0
221,days,96.0
222,such,96.0
223,things,96.0
224,friend,95.0
225,miss,94.0
226,support,93.0
227,give,92.0
228,off,92.0
229,can't,91.0
230,every,89.0
231,fun,89.0
232,sure,88.0
233,lol,87.0
234,yes,87.0
235,after,87.0
236,other,85.0
237,any,85.0
238,finally,85.0
239,together,84.0
240,last,84.0
241,1,84.0
242,since,83.0
243,having,83.0
244,goldenvoiceseungheeday,82.0
245,sorry,82.0
246,hi,82.0
247,tell,81.0
248,another,81.0
249,heart,80.0
250,we're,79.0
251,something,79.0
252,live,79.0
253,special,78.0
254,that's,78.0
255,better,78.0
256,hear,78.0
257,over,76.0
258,into,76.0
259,talented,76.0
260,through,76.0
261,yourself,74.0
262,someone,74.0
263,cute,74.0
264,2,73.0
265,october,73.0
266,lets,73.0
267,team,72.0
268,let,72.0
269,wait,72.0
270,end,71.0
271,let's,71.0
272,w,70.0
273,lovely,70.0
274,two,70.0
275,b-day,70.0
276,should,69.0
277,getting,69.0
278,pretty,69.0
279,brother,69.0
280,home,69.0
281,__26_,69.0
282,same,69.0
283,gonna,68.0
284,independence,67.0
285,late,67.0
286,nice,67.0
287,erikson,67.0
288,ive,67.0
289,b,67.0
290,bae,66.0
291,awesome,66.0
292,eddie,66.0
293,universe,66.0
294,congratulations,66.0
295,thats,65.0
296,forever,65.0
297,congrats,65.0
298,@wayv_official,65.0
299,already,65.0
300,glad,65.0
301,part,64.0
302,working,64.0
303,joy,63.0
304,both,62.0
305,thing,62.0
306,10,62.0
307,bless,62.0
308,true,62.0
309,blessed,61.0
310,said,60.0
311,old,59.0
312,i've,59.0
313,care,59.0
314,own,59.0
315,while,59.0
316,liu,58.0
317,hey,58.0
318,loves,58.0
319,night,58.0
320,5,58.0
321,sweet,58.0
322,looks,57.0
323,song,57.0
324,wishes,57.0
325,80th,57.0
326,excited,57.0
327,precious,57.0
328,ya,56.0
329,fans,56.0
330,words,55.0
331,music,55.0
332,wanna,55.0
333,s,55.0
334,win,55.0
335,health,55.0
336,show,55.0
337,@paisleygina,54.0
338,i'll,54.0
339,yeah,54.0
340,month,54.0
341,once,53.0
342,super,53.0
343,around,53.0
344,m,53.0
345,next,53.0
346,times,53.0
347,@bts_twt,52.0
348,id,52.0
349,grateful,52.0
350,ending,52.0
351,mean,52.0
352,h,52.0
