"Topic","Sentiment","TweetId","TweetDate","TweetText"
"b'apple'","b'positive'","b'126415614616154112'","b'Tue Oct 18 21:53:25 +0000 2011'","b'Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is'"
"b'apple'","b'positive'","b'126402758403305474'","b'Tue Oct 18 21:02:20 +0000 2011'","b""Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY"""
"b'apple'","b'positive'","b'126397179614068736'","b'Tue Oct 18 20:40:10 +0000 2011'","b'@RIM you made it too easy for me to switch to @Apple iPhone. See ya!'"
"b'apple'","b'positive'","b'126379685453119488'","b'Tue Oct 18 19:30:39 +0000 2011'","b'The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace'"
"b'apple'","b'positive'","b'126377656416612353'","b'Tue Oct 18 19:22:35 +0000 2011'","b'Great up close & personal event @Apple tonight in Regent St store!'"
"b'apple'","b'positive'","b'126373779483004928'","b'Tue Oct 18 19:07:11 +0000 2011'","b'From which companies do you experience the best customer service aside from @zappos and @apple?'"
"b'apple'","b'positive'","b'126365858481188864'","b'Tue Oct 18 18:35:43 +0000 2011'","b'Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol'"
"b'apple'","b'positive'","b'126360935509135362'","b'Tue Oct 18 18:16:09 +0000 2011'","b""RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"""
"b'apple'","b'positive'","b'126360398885687296'","b'Tue Oct 18 18:14:01 +0000 2011'","b'Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple'"
"b'apple'","b'positive'","b'126358340220616704'","b'Tue Oct 18 18:05:50 +0000 2011'","b""Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!"""
"b'apple'","b'positive'","b'126357982685569024'","b'Tue Oct 18 18:04:25 +0000 2011'","b'\xe4\xbd\xa0\xe5\xa5\xbd ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  \xee\x94\x96\xee\x94\x93'"
